sample_id,cell_type,condition,replicate,outlier_flag,group
AEC.mock.I,AEC,mock,I,FALSE,AEC.mock
AEC.mock.II,AEC,mock,II,FALSE,AEC.mock
AEC.mock.III,AEC,mock,III,TRUE,AEC.mock
AEC.WSN.I,AEC,WSN,I,FALSE,AEC.WSN
AEC.WSN.II,AEC,WSN,II,FALSE,AEC.WSN
AEC.WSN.III,AEC,WSN,III,FALSE,AEC.WSN
AEC.WSN.PP1.I,AEC,WSN_PP1,I,TRUE,AEC.WSN_PP1
AEC.WSN.PP1.II,AEC,WSN_PP1,II,FALSE,AEC.WSN_PP1
AEC.WSN.PP1.III,AEC,WSN_PP1,III,FALSE,AEC.WSN_PP1
AM.mock.I,AM,mock,I,FALSE,AM.mock
AM.mock.II,AM,mock,II,TRUE,AM.mock
AM.mock.III,AM,mock,III,FALSE,AM.mock
AM.WSN.I,AM,WSN,I,FALSE,AM.WSN
AM.WSN.II,AM,WSN,II,FALSE,AM.WSN
AM.WSN.III,AM,WSN,III,TRUE,AM.WSN
AM.WSN.PP1.I,AM,WSN_PP1,I,FALSE,AM.WSN_PP1
AM.WSN.PP1.II,AM,WSN_PP1,II,FALSE,AM.WSN_PP1
AM.WSN.PP1.III,AM,WSN_PP1,III,FALSE,AM.WSN_PP1
