cell_type,contrast,direction,tool,top_go_term,go_id,fdr_or_rank,biological_theme,theme_keywords,top_text_mined_phrases,matching_text_mined_phrases,theme_match_count,top_phrase_count,theme_match_proportion
AEC,WSN vs mock,Upregulated,WebGestalt,defense response to other organism,GO:0098542,top term,antiviral innate immune response,"antiviral, virus, viral, interferon, defense, immune, response",interferon induc; cytokin ligand; interferon activ; oligoadenyl synthetas; histocompat locu; tumor necrosi; slfn schlafen; cxcl cytokin; ifit interferon; parp poli,interferon induc; interferon activ; ifit interferon,3,10,0.3
AEC,WSN vs mock,Upregulated,GOrilla,response to other organism,GO:0051707,top term,antiviral innate immune response,"antiviral, virus, viral, interferon, defense, immune, response",interferon induc; cytokin ligand; interferon activ; oligoadenyl synthetas; histocompat locu; tumor necrosi; slfn schlafen; cxcl cytokin; ifit interferon; parp poli,interferon induc; interferon activ; ifit interferon,3,10,0.3
AEC,WSN_PP1 vs WSN,Downregulated,WebGestalt,cellular response to interferon-beta,GO:0035458,FDR 1.63E-28,interferon beta response,"interferon, beta, cytokine, immune, response, inflammatory",interferon induc; interferon activ; cytokin ligand; tyrosin phosphatas; solut carrier; oligoadenyl synthetas; tumor necrosi; ubiquitin ligas; ifit interferon; ribos polymeras,interferon induc; interferon activ; cytokin ligand; ifit interferon,4,10,0.4
AEC,WSN_PP1 vs WSN,Downregulated,GOrilla,cellular response to interferon-beta,GO:0035458,FDR 1.63E-28,interferon beta response,"interferon, beta, cytokine, immune, response, inflammatory",interferon induc; interferon activ; cytokin ligand; tyrosin phosphatas; solut carrier; oligoadenyl synthetas; tumor necrosi; ubiquitin ligas; ifit interferon; ribos polymeras,interferon induc; interferon activ; cytokin ligand; ifit interferon,4,10,0.4
AM,WSN vs mock,Upregulated,WebGestalt,cytokine-mediated signaling pathway,GO:0019221,top term,cytokine signaling and inflammatory response,"cytokine, chemokine, interleukin, inflammatory, immune, signaling, response",cytokin ligand; cxcl cytokin; high mobil; peptidas inhibitor; ifna interferon; hmga high; mobil hook; ptg prostaglandin; prostaglandin endoperoxid; endoperoxid synthas,cytokin ligand; cxcl cytokin,2,10,0.2
AM,WSN vs mock,Upregulated,GOrilla,regulation of response to stimulus,GO:0048583,top term,stimulus response regulation,"response, stimulus, regulation, immune, cytokine, signaling",cytokin ligand; cxcl cytokin; high mobil; peptidas inhibitor; ifna interferon; hmga high; mobil hook; ptg prostaglandin; prostaglandin endoperoxid; endoperoxid synthas,cytokin ligand; cxcl cytokin,2,10,0.2
AM,WSN_PP1 vs WSN,Mixed high-confidence,WebGestalt,defense response,GO:0006952,top term,immune defense and leukocyte recruitment,"defense, immune, leukocyte, chemokine, cytokine, migration, response",solut carrier; clec lectin; peptidas inhibitor; lysin specif; pleckstrin homolog; cytokin ligand; heat shock; serin cystein; cystein peptidas; interferon induc,cytokin ligand,1,10,0.1
AM,WSN_PP1 vs WSN,Mixed high-confidence,GOrilla,receptor ligand activity,GO:0048018,top term,receptor ligand signaling,"receptor, ligand, signaling, cytokine, chemokine",solut carrier; clec lectin; peptidas inhibitor; lysin specif; pleckstrin homolog; cytokin ligand; heat shock; serin cystein; cystein peptidas; interferon induc,cytokin ligand,1,10,0.1
AM,WSN_PP1 vs WSN,Downregulated,GOrilla,positive regulation of RNA metabolic process,GO:0051254,FDR 2.47E-11,RNA metabolic regulation,"rna, metabolic, transcription, regulation, process",lysin specif; pleckstrin homolog; specif methyltransferas; heat shock; peptidas inhibitor; arid interact; tnrc trinucleotid; nuclear activ; cytokin ligand; complement compon,,0,10,0.0
AM,WSN_PP1 vs WSN,Downregulated,WebGestalt,interleukin-5 production,GO:0032634,enrichment ratio 10.5; FDR 0.013,interleukin and cytokine production,"interleukin, cytokine, production, inflammatory, immune",lysin specif; pleckstrin homolog; specif methyltransferas; heat shock; peptidas inhibitor; arid interact; tnrc trinucleotid; nuclear activ; cytokin ligand; complement compon,cytokin ligand,1,10,0.1
